2025-03-03 13:20:40,151 - __main__ - 12 - DEBUG - Sucessfully Setup Logger for this programme.............
2025-03-03 13:20:40,482 - __main__ - 54 - DEBUG - {'trial_no': 1, 'h': 20.0, 'Q_design': 10.194797867364143, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 860.0, 'P': 92.44271909999159, 'R': 9.303058243773341, 'T': 83.0, 'dp_dh': 4.47213595499958, 'R_2_3': 4.423341737688047, 'R_5_3': 41.1506058178255, 'f_h': 3760.821030182685, 'f_prime_h': 551.1684680760202, 'h_calc': 13.176639724491693, 'Q_calc': 896.6288156244156}
2025-03-03 13:20:40,484 - __main__ - 54 - DEBUG - {'trial_no': 2, 'h': 13.176639724491693, 'Q_design': 10.194797867364143, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 386.77758803158014, 'P': 61.92772427797505, 'R': 6.245628957645062, 'T': 55.70655889796677, 'dp_dh': 4.47213595499958, 'R_2_3': 3.3914398583730105, 'R_5_3': 21.181674987566147, 'f_h': 1268.4800641466406, 'f_prime_h': 283.652774518378, 'h_calc': 8.704693111946025, 'Q_calc': 309.1784162533763}
2025-03-03 13:20:40,485 - __main__ - 54 - DEBUG - {'trial_no': 3, 'h': 8.704693111946025, 'Q_design': 10.194797867364143, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 177.65744368215923, 'P': 41.928571043171, 'R': 4.23714520342793, 'T': 37.8187724477841, 'dp_dh': 4.47213595499958, 'R_2_3': 2.618477811432082, 'R_5_3': 11.094870698991912, 'f_h': 421.93921008844256, 'f_prime_h': 148.64538667915468, 'h_calc': 5.866130681487405, 'Q_calc': 109.64682343470851}
2025-03-03 13:20:40,486 - __main__ - 54 - DEBUG - {'trial_no': 4, 'h': 5.866130681487405, 'Q_design': 10.194797867364143, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 86.42137038903799, 'P': 29.23413393740601, 'R': 2.956180284802591, 'T': 26.46452272594962, 'dp_dh': 4.47213595499958, 'R_2_3': 2.0597789278153567, 'R_5_3': 6.089077857459578, 'f_h': 134.75605341123045, 'f_prime_h': 81.74225026473843, 'h_calc': 4.217582311766773, 'Q_calc': 41.95710425837002}
2025-03-03 13:20:40,486 - __main__ - 54 - DEBUG - {'trial_no': 5, 'h': 4.217582311766773, 'Q_design': 10.194797867364143, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 48.22874804835622, 'P': 21.86160149962243, 'R': 2.206094006845252, 'T': 19.87032924706709, 'dp_dh': 4.47213595499958, 'R_2_3': 1.6946603818357864, 'R_5_3': 3.7385801120060154, 'f_h': 38.47848435405328, 'f_prime_h': 50.39289828858597, 'h_calc': 3.454012728336627, 'Q_calc': 19.26426360620799}
2025-03-03 13:20:40,487 - __main__ - 54 - DEBUG - {'trial_no': 6, 'h': 3.454012728336627, 'Q_design': 10.194797867364143, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 34.22244604003274, 'P': 18.446814511420428, 'R': 1.8551954332736211, 'T': 16.81605091334651, 'dp_dh': 4.47213595499958, 'R_2_3': 1.5098244164710224, 'R_5_3': 2.8010193624820507, 'f_h': 8.41702039356747, 'f_prime_h': 37.91582365919638, 'h_calc': 3.2320204417065583, 'Q_calc': 12.17870859992315}
2025-03-03 13:20:40,487 - __main__ - 54 - DEBUG - {'trial_no': 7, 'h': 3.2320204417065583, 'Q_design': 10.194797867364143, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 30.58797359633779, 'P': 17.454034824649522, 'R': 1.752487256020586, 'T': 15.928081766826233, 'dp_dh': 4.47213595499958, 'R_2_3': 1.4535721016765248, 'R_5_3': 2.5473665838951693, 'f_h': 1.2089608374187506, 'f_prime_h': 34.54478497988318, 'h_calc': 3.19702352862336, 'Q_calc': 10.479752669473395}
2025-03-03 13:20:40,488 - __main__ - 54 - DEBUG - {'trial_no': 8, 'h': 3.19702352862336, 'Q_design': 10.194797867364143, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 30.032989471012797, 'P': 17.297523871336153, 'R': 1.7362594608573239, 'T': 15.78809411449344, 'dp_dh': 4.47213595499958, 'R_2_3': 1.4445849417005565, 'R_5_3': 2.5081742720396174, 'f_h': 0.13234011504042797, 'f_prime_h': 34.024139359341675, 'h_calc': 3.193133933837648, 'Q_calc': 10.225990731620174}
2025-03-03 13:20:40,488 - __main__ - 54 - DEBUG - {'trial_no': 9, 'h': 3.193133933837648, 'Q_design': 10.194797867364143, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 29.971610440363932, 'P': 17.280129074644595, 'R': 1.734455241097808, 'T': 15.772535735350592, 'dp_dh': 4.47213595499958, 'R_2_3': 1.4435840159142943, 'R_5_3': 2.5038318623675693, 'f_h': 0.013673533883334699, 'f_prime_h': 33.96645697495669, 'h_calc': 3.192731373927045, 'Q_calc': 10.19802075020804}
2025-03-03 13:20:40,489 - __main__ - 54 - DEBUG - {'trial_no': 1, 'h': 20.0, 'Q_design': 17.666710276331678, 'n': 0.03, 's_0': 5e-05, 'B': 10, 'm': 2, 'A': 1000.0, 'P': 99.44271909999159, 'R': 10.056040392403998, 'T': 90.0, 'dp_dh': 4.47213595499958, 'R_2_3': 4.658913774431534, 'R_5_3': 46.850225100410896, 'f_h': 4583.960270605621, 'f_prime_h': 628.8228158702094, 'h_calc': 12.71025135393344, 'Q_calc': 1098.1165076213172}
2025-03-03 13:20:40,490 - __main__ - 54 - DEBUG - {'trial_no': 2, 'h': 12.71025135393344, 'Q_design': 17.666710276331678, 'n': 0.03, 's_0': 5e-05, 'B': 10, 'm': 2, 'A': 450.2034924996681, 'P': 66.84197207700782, 'R': 6.735341261041701, 'T': 60.84100541573376, 'dp_dh': 4.47213595499958, 'R_2_3': 3.566479538490922, 'R_5_3': 24.021456792258874, 'f_h': 1530.6880403313041, 'f_prime_h': 324.4154215285596, 'h_calc': 7.9919551856467805, 'Q_calc': 378.4533413428026}
