Northing,Easting,Date,Time,Depth,Sec- no,field_7,Distance,WL,RL
2646758.080000000074506,715590.949999999953434,16-11-2024,9:35:09 AM,2.760000000000000,1,0.000000000000000,0.000000000000000,7.420000000000000,4.660000000000000
2646757.759999999776483,715591.380000000004657,16-11-2024,9:35:10 AM,2.980000000000000,1,0.536003732000000,0.540000000000000,7.420000000000000,4.440000000000001
2646757.450000000186265,715591.790000000037253,16-11-2024,9:35:11 AM,3.100000000000000,1,0.514003891000000,1.050000000000000,7.420000000000000,4.320000000000001
2646757.140000000130385,715592.219999999972060,16-11-2024,9:35:12 AM,3.200000000000000,1,0.530094331000000,1.580000000000000,7.420000000000000,4.220000000000000
2646756.779999999329448,715592.630000000004657,16-11-2024,9:35:13 AM,3.270000000000000,1,0.545618915000000,2.130000000000000,7.420000000000000,4.150000000000001
2646756.399999999906868,715593.069999999948777,16-11-2024,9:35:14 AM,3.340000000000000,1,0.581377674000000,2.710000000000000,7.420000000000000,4.080000000000000
2646755.990000000223517,715593.550000000046566,16-11-2024,9:35:15 AM,3.430000000000000,1,0.631268564000000,3.340000000000000,7.420000000000000,3.990000000000000
2646755.560000000055879,715594.010000000009313,16-11-2024,9:35:16 AM,3.620000000000000,1,0.629682460000000,3.970000000000000,7.420000000000000,3.800000000000000
2646755.089999999850988,715594.530000000027940,16-11-2024,9:35:17 AM,3.800000000000000,1,0.700927957000000,4.670000000000000,7.420000000000000,3.620000000000000
2646754.640000000130385,715595.020000000135042,16-11-2024,9:35:18 AM,3.990000000000000,1,0.665281895000000,5.330000000000000,7.420000000000000,3.430000000000000
2646754.169999999925494,715595.580000000074506,16-11-2024,9:35:19 AM,4.180000000000000,1,0.731095069000000,6.070000000000000,7.420000000000000,3.240000000000000
2646753.689999999944121,715596.160000000032596,16-11-2024,9:35:20 AM,4.400000000000001,1,0.752861209000000,6.820000000000000,7.420000000000000,3.020000000000000
2646753.229999999981374,715596.790000000037253,16-11-2024,9:35:21 AM,4.630000000000000,1,0.780064100000000,7.600000000000000,7.420000000000000,2.790000000000000
2646752.779999999795109,715597.459999999962747,16-11-2024,9:35:22 AM,4.910000000000000,1,0.807093551000000,8.410000000000000,7.420000000000000,2.510000000000000
2646752.319999999832362,715598.199999999953434,16-11-2024,9:35:23 AM,5.190000000000000,1,0.871320836000000,9.279999999999999,7.420000000000000,2.230000000000000
2646751.870000000111759,715598.989999999990687,16-11-2024,9:35:24 AM,5.450000000000000,1,0.909175451000000,10.190000000000000,7.420000000000000,1.970000000000000
2646751.440000000409782,715599.860000000102445,16-11-2024,9:35:25 AM,5.700000000000000,1,0.970463807000000,11.160000000000000,7.420000000000000,1.720000000000000
2646751.069999999832362,715600.770000000018626,16-11-2024,9:35:26 AM,5.900000000000000,1,0.982344135000000,12.140000000000001,7.420000000000000,1.520000000000000
2646750.750000000000000,715601.760000000009313,16-11-2024,9:35:27 AM,6.090000000000000,1,1.040432602000000,13.180000000000000,7.420000000000000,1.330000000000000
2646750.470000000204891,715602.789999999920838,16-11-2024,9:35:28 AM,6.270000000000000,1,1.067379970000000,14.250000000000000,7.420000000000000,1.150000000000000
2646750.270000000018626,715603.880000000004657,16-11-2024,9:35:29 AM,6.420000000000000,1,1.108196733000000,15.350000000000000,7.420000000000000,1.000000000000000
2646750.160000000149012,715605.020000000018626,16-11-2024,9:35:30 AM,6.470000000000000,1,1.145294722000000,16.500000000000000,7.420000000000000,0.950000000000000
2646750.080000000074506,715606.170000000041910,16-11-2024,9:35:31 AM,6.430000000000000,1,1.152779250000000,17.649999999999999,7.420000000000000,0.990000000000000
2646750.089999999850988,715607.380000000004657,16-11-2024,9:35:32 AM,6.330000000000000,1,1.210041322000000,18.859999999999999,7.420000000000000,1.090000000000000
2646750.169999999925494,715608.609999999986030,16-11-2024,9:35:33 AM,6.160000000000000,1,1.232598880000000,20.100000000000001,7.420000000000000,1.260000000000000
2646750.330000000074506,715609.859999999986030,16-11-2024,9:35:34 AM,5.990000000000000,1,1.260198397000000,21.359999999999999,7.420000000000000,1.430000000000000
2646750.519999999552965,715611.130000000004657,16-11-2024,9:35:35 AM,5.850000000000000,1,1.284133949000000,22.640000000000001,7.420000000000000,1.570000000000000
2646750.759999999776483,715612.380000000004657,16-11-2024,9:35:36 AM,5.710000000000000,1,1.272831489000000,23.910000000000000,7.420000000000000,1.710000000000000
2646750.959999999962747,715613.599999999976717,16-11-2024,9:35:37 AM,5.590000000000000,1,1.236284757000000,25.149999999999999,7.420000000000000,1.830000000000000
2646751.149999999906868,715614.750000000000000,16-11-2024,9:35:38 AM,5.460000000000000,1,1.165589979000000,26.309999999999999,7.420000000000000,1.960000000000000
2646751.330000000074506,715615.869999999995343,16-11-2024,9:35:39 AM,5.330000000000000,1,1.134372073000000,27.449999999999999,7.420000000000000,2.090000000000000
2646751.520000000018626,715617.010000000009313,16-11-2024,9:35:40 AM,5.190000000000000,1,1.155724881000000,28.600000000000001,7.420000000000000,2.230000000000000
2646751.689999999944121,715618.180000000167638,16-11-2024,9:35:41 AM,5.120000000000000,1,1.182285921000000,29.789999999999999,7.420000000000000,2.300000000000000
2646751.870000000111759,715619.339999999967404,16-11-2024,9:35:42 AM,5.080000000000000,1,1.173882447000000,30.960000000000001,7.420000000000000,2.340000000000000
2646752.029999999795109,715620.530000000027940,16-11-2024,9:35:43 AM,5.040000000000000,1,1.200708124000000,32.159999999999997,7.420000000000000,2.380000000000000
2646752.180000000167638,715621.709999999962747,16-11-2024,9:35:44 AM,4.970000000000000,1,1.189495691000000,33.350000000000001,7.420000000000000,2.450000000000000
2646752.319999999832362,715622.900000000023283,16-11-2024,9:35:45 AM,4.900000000000000,1,1.198206994000000,34.549999999999997,7.420000000000000,2.520000000000000
2646752.410000000149012,715624.060000000055879,16-11-2024,9:35:46 AM,4.790000000000000,1,1.163486141000000,35.710000000000001,7.420000000000000,2.630000000000000
2646752.509999999776483,715625.229999999981374,16-11-2024,9:35:47 AM,4.660000000000000,1,1.174265728000000,36.890000000000001,7.420000000000000,2.760000000000000
2646752.589999999850988,715626.400000000023283,16-11-2024,9:35:48 AM,4.520000000000000,1,1.172731853000000,38.060000000000002,7.420000000000000,2.900000000000000
2646752.660000000149012,715627.569999999948777,16-11-2024,9:35:49 AM,4.390000000000000,1,1.172092146000000,39.229999999999997,7.420000000000000,3.030000000000000
2646752.720000000204891,715628.729999999981374,16-11-2024,9:35:50 AM,4.280000000000000,1,1.161550688000000,40.390000000000001,7.420000000000000,3.140000000000000
2646752.770000000018626,715629.890000000013970,16-11-2024,9:35:51 AM,4.180000000000000,1,1.161077086000000,41.549999999999997,7.420000000000000,3.240000000000000
2646752.839999999850988,715631.030000000027940,16-11-2024,9:35:52 AM,4.090000000000000,1,1.142147101000000,42.700000000000003,7.420000000000000,3.330000000000000
2646752.839999999850988,715632.139999999897555,16-11-2024,9:35:53 AM,4.020000000000000,1,1.110000000000000,43.810000000000002,7.420000000000000,3.400000000000000
2646752.870000000111759,715633.280000000027940,16-11-2024,9:35:54 AM,3.960000000000000,1,1.140394669000000,44.950000000000003,7.420000000000000,3.460000000000000
2646752.899999999906868,715634.439999999944121,16-11-2024,9:35:55 AM,3.920000000000000,1,1.160387866000000,46.109999999999999,7.420000000000000,3.500000000000000
2646752.899999999906868,715635.589999999967404,16-11-2024,9:35:56 AM,3.890000000000000,1,1.150000000000000,47.259999999999998,7.420000000000000,3.530000000000000
2646752.919999999925494,715636.739999999990687,16-11-2024,9:35:57 AM,3.880000000000000,1,1.150173900000000,48.409999999999997,7.420000000000000,3.540000000000000
2646752.899999999906868,715637.880000000004657,16-11-2024,9:35:58 AM,3.870000000000000,1,1.140175425000000,49.549999999999997,7.420000000000000,3.550000000000000
2646752.889999999664724,715639.010000000009313,16-11-2024,9:35:59 AM,3.850000000000000,1,1.130044247000000,50.680000000000000,7.420000000000000,3.570000000000000
2646752.859999999869615,715640.119999999995343,16-11-2024,9:36:00 AM,3.780000000000000,1,1.110405331000000,51.789999999999999,7.420000000000000,3.640000000000000
2646752.830000000074506,715641.239999999990687,16-11-2024,9:36:01 AM,3.700000000000000,1,1.120401714000000,52.909999999999997,7.420000000000000,3.720000000000000
2646752.779999999795109,715642.349999999976717,16-11-2024,9:36:02 AM,3.600000000000000,1,1.111125555000000,54.020000000000003,7.420000000000000,3.820000000000000
2646752.729999999981374,715643.459999999962747,16-11-2024,9:36:03 AM,3.490000000000000,1,1.111125555000000,55.130000000000003,7.420000000000000,3.930000000000000
2646752.649999999906868,715644.550000000162981,16-11-2024,9:36:04 AM,3.360000000000000,1,1.092931837000000,56.219999999999999,7.420000000000000,4.060000000000000
2646752.580000000074506,715645.650000000023283,16-11-2024,9:36:05 AM,3.240000000000000,1,1.102225022000000,57.329999999999998,7.420000000000000,4.180000000000000
2646752.490000000689179,715646.750000000000000,16-11-2024,9:36:06 AM,3.100000000000000,1,1.103675677000000,58.430000000000000,7.420000000000000,4.320000000000001
2646752.399999999906868,715647.829999999958090,16-11-2024,9:36:07 AM,2.960000000000000,1,1.083743512000000,59.509999999999998,7.420000000000000,4.460000000000000
2646752.310000000055879,715648.910000000032596,16-11-2024,9:36:08 AM,2.810000000000000,1,1.083743512000000,60.600000000000001,7.420000000000000,4.610000000000000
2646752.220000000204891,715650.020000000018626,16-11-2024,9:36:09 AM,2.660000000000000,1,1.113642672000000,61.710000000000001,7.420000000000000,4.760000000000000
2646752.129999999888241,715651.109999999986030,16-11-2024,9:36:10 AM,2.520000000000000,1,1.093709285000000,62.799999999999997,7.420000000000000,4.900000000000000
2646752.060000000055879,715652.190000000060536,16-11-2024,9:36:11 AM,2.400000000000000,1,1.082266141000000,63.890000000000001,7.420000000000000,5.020000000000000
2646751.979999999981374,715653.270000000018626,16-11-2024,9:36:12 AM,2.290000000000000,1,1.082958910000000,64.969999999999999,7.420000000000000,5.130000000000000
2646751.910000000149012,715654.359999999986030,16-11-2024,9:36:13 AM,2.180000000000000,1,1.092245394000000,66.060000000000002,7.420000000000000,5.240000000000000
2646751.819999999832362,715655.410000000032596,16-11-2024,9:36:14 AM,2.080000000000000,1,1.053850084000000,67.120000000000005,7.420000000000000,5.340000000000000
2646751.759999999776483,715656.489999999990687,16-11-2024,9:36:15 AM,1.980000000000000,1,1.081665383000000,68.200000000000003,7.420000000000000,5.440000000000000
2646751.709999999962747,715657.569999999948777,16-11-2024,9:36:16 AM,1.890000000000000,1,1.081156788000000,69.280000000000001,7.420000000000000,5.530000000000000
2646751.649999999906868,715658.640000000013970,16-11-2024,9:36:17 AM,1.800000000000000,1,1.071680923000000,70.349999999999994,7.420000000000000,5.620000000000000
2646751.600000000093132,715659.709999999962747,16-11-2024,9:36:18 AM,1.730000000000000,1,1.071167587000000,71.420000000000002,7.420000000000000,5.690000000000000
2646751.569999999832362,715660.770000000018626,16-11-2024,9:36:19 AM,1.680000000000000,1,1.060424443000000,72.480000000000004,7.420000000000000,5.740000000000000
2646751.560000000055879,715661.829999999958090,16-11-2024,9:36:20 AM,1.640000000000000,1,1.060047169000000,73.540000000000006,7.420000000000000,5.780000000000000
2646751.540000000037253,715662.890000000013970,16-11-2024,9:36:21 AM,1.600000000000000,1,1.060188663000000,74.599999999999994,7.420000000000000,5.820000000000000
2646751.560000000055879,715663.930000000051223,16-11-2024,9:36:22 AM,1.570000000000000,1,1.040192290000000,75.640000000000001,7.420000000000000,5.850000000000000
2646751.569999999832362,715664.969999999972060,16-11-2024,9:36:23 AM,1.560000000000000,1,1.040048076000000,76.680000000000007,7.420000000000000,5.860000000000000
2646751.609999999869615,715665.989999999990687,16-11-2024,9:36:24 AM,1.550000000000000,1,1.020784012000000,77.700000000000003,7.420000000000000,5.870000000000000
2646751.649999999906868,715667.000000000000000,16-11-2024,9:36:25 AM,1.540000000000000,1,1.010791769000000,78.709999999999994,7.420000000000000,5.880000000000000
2646751.720000000204891,715668.010000000009313,16-11-2024,9:36:26 AM,1.540000000000000,1,1.012422837000000,79.730000000000004,7.420000000000000,5.880000000000000
2646751.799999999813735,715669.000000000000000,16-11-2024,9:36:27 AM,1.540000000000000,1,0.993227064000000,80.719999999999999,7.420000000000000,5.880000000000000
2646751.939999999944121,715669.949999999953434,16-11-2024,9:36:28 AM,1.530000000000000,1,0.960260381000000,81.680000000000007,7.420000000000000,5.890000000000000
2646752.160000000614673,715670.840000000083819,16-11-2024,9:36:29 AM,1.530000000000000,1,0.916787871000000,82.599999999999994,7.420000000000000,5.890000000000000
2646759.959999999962747,715674.880000000004657,16-11-2024,9:36:50 AM,0.960000000000000,2,0.000000000000000,0.000000000000000,7.420000000000000,6.460000000000000
2646760.209999999962747,715674.510000000125729,16-11-2024,9:36:51 AM,1.190000000000000,2,0.446542271000000,0.450000000000000,7.420000000000000,6.230000000000000
2646760.450000000186265,715674.109999999986030,16-11-2024,9:36:52 AM,1.240000000000000,2,0.466476152000000,0.910000000000000,7.420000000000000,6.180000000000000
2646760.689999999944121,715673.699999999953434,16-11-2024,9:36:53 AM,1.270000000000000,2,0.475078941000000,1.390000000000000,7.420000000000000,6.150000000000000
2646760.930000000167638,715673.270000000018626,16-11-2024,9:36:54 AM,1.300000000000000,2,0.492442890000000,1.880000000000000,7.420000000000000,6.120000000000000
2646761.140000000130385,715672.819999999948777,16-11-2024,9:36:55 AM,1.370000000000000,2,0.496588361000000,2.380000000000000,7.420000000000000,6.050000000000000
2646761.370000000111759,715672.370000000111759,16-11-2024,9:36:56 AM,1.400000000000000,2,0.505371151000000,2.880000000000000,7.420000000000000,6.020000000000000
2646761.620000000111759,715671.910000000032596,16-11-2024,9:36:57 AM,1.540000000000000,2,0.523545604000000,3.410000000000000,7.420000000000000,5.880000000000000
2646761.870000000111759,715671.439999999944121,16-11-2024,9:36:58 AM,1.680000000000000,2,0.532353266000000,3.940000000000000,7.420000000000000,5.740000000000000
2646762.069999999832362,715670.930000000051223,16-11-2024,9:36:59 AM,1.700000000000000,2,0.547813837000000,4.490000000000000,7.420000000000000,5.720000000000000
2646762.259999999776483,715670.410000000032596,16-11-2024,9:37:00 AM,1.760000000000000,2,0.553624421000000,5.040000000000000,7.420000000000000,5.660000000000000
2646762.430000000633299,715669.890000000013970,16-11-2024,9:37:01 AM,1.780000000000000,2,0.547083175000000,5.590000000000000,7.420000000000000,5.640000000000000
2646762.589999999850988,715669.359999999986030,16-11-2024,9:37:02 AM,1.790000000000000,2,0.553624421000000,6.140000000000000,7.420000000000000,5.630000000000000
2646762.740000000223517,715668.829999999958090,16-11-2024,9:37:03 AM,1.800000000000000,2,0.550817574000000,6.690000000000000,7.420000000000000,5.620000000000000
2646762.890000000130385,715668.270000000018626,16-11-2024,9:37:04 AM,1.810000000000000,2,0.579741322000000,7.270000000000000,7.420000000000000,5.610000000000000
2646763.040000000037253,715667.689999999944121,16-11-2024,9:37:05 AM,1.850000000000000,2,0.599082632000000,7.870000000000000,7.420000000000000,5.570000000000000
2646763.189999999944121,715667.109999999986030,16-11-2024,9:37:06 AM,1.830000000000000,2,0.599082632000000,8.470000000000002,7.420000000000000,5.590000000000000
2646763.339999999850988,715666.479999999981374,16-11-2024,9:37:07 AM,1.850000000000000,2,0.647610994000000,9.119999999999999,7.420000000000000,5.570000000000000
2646763.500000000000000,715665.849999999976717,16-11-2024,9:37:08 AM,1.850000000000000,2,0.650000000000000,9.770000000000000,7.420000000000000,5.570000000000000
2646763.660000000149012,715665.180000000051223,16-11-2024,9:37:09 AM,1.910000000000000,2,0.688839604000000,10.460000000000001,7.420000000000000,5.510000000000000
2646763.820000000298023,715664.489999999990687,16-11-2024,9:37:10 AM,1.930000000000000,2,0.708307843000000,11.160000000000000,7.420000000000000,5.490000000000000
2646764.000000000000000,715663.770000000018626,16-11-2024,9:37:11 AM,1.980000000000000,2,0.742159013000000,11.910000000000000,7.420000000000000,5.440000000000000
2646764.149999999441206,715663.030000000027940,16-11-2024,9:37:12 AM,1.950000000000000,2,0.755049667000000,12.660000000000000,7.420000000000000,5.470000000000000
2646764.299999999813735,715662.260000000009313,16-11-2024,9:37:13 AM,1.940000000000000,2,0.784474346000000,13.449999999999999,7.420000000000000,5.480000000000000
2646764.430000000167638,715661.449999999953434,16-11-2024,9:37:14 AM,1.940000000000000,2,0.820365772000000,14.270000000000000,7.420000000000000,5.480000000000000
2646764.549999999813735,715660.619999999995343,16-11-2024,9:37:15 AM,1.950000000000000,2,0.838629835000000,15.100000000000000,7.420000000000000,5.470000000000000
2646764.660000000149012,715659.760000000009313,16-11-2024,9:37:16 AM,1.930000000000000,2,0.867006344000000,15.970000000000001,7.420000000000000,5.490000000000000
2646764.750000000000000,715658.869999999995343,16-11-2024,9:37:17 AM,1.950000000000000,2,0.894538987000000,16.870000000000001,7.420000000000000,5.470000000000000
2646764.799999999813735,715657.959999999962747,16-11-2024,9:37:18 AM,1.990000000000000,2,0.911372591000000,17.780000000000001,7.420000000000000,5.430000000000000
2646764.839999999850988,715657.020000000018626,16-11-2024,9:37:19 AM,2.060000000000000,2,0.940850679000000,18.719999999999999,7.420000000000000,5.360000000000000
2646764.859999999869615,715656.060000000055879,16-11-2024,9:37:20 AM,2.120000000000000,2,0.960208311000000,19.680000000000000,7.420000000000000,5.300000000000000
2646764.879999999888241,715655.089999999967404,16-11-2024,9:37:21 AM,2.210000000000000,2,0.970206164000000,20.649999999999999,7.420000000000000,5.210000000000000
2646764.870000000577420,715654.130000000004657,16-11-2024,9:37:22 AM,2.250000000000000,2,0.960052082000000,21.609999999999999,7.420000000000000,5.170000000000000
