N,E,RL,Section No,pointno
2646758.08,715590.95,2.76,1,P1
2646757.76,715591.38,2.98,1,P2
2646757.45,715591.79,3.1,1,P3
2646757.14,715592.22,3.2,1,P4
2646756.78,715592.63,3.27,1,P5
2646756.4,715593.07,3.34,1,P6
2646755.99,715593.55,3.43,1,P7
2646755.56,715594.01,3.62,1,P8
2646755.09,715594.53,3.8,1,P9
2646754.64,715595.02,3.99,1,P10
2646754.17,715595.58,4.18,1,P11
2646753.69,715596.16,4.4,1,P12
2646753.23,715596.79,4.63,1,P13
2646752.78,715597.46,4.91,1,P14
2646752.32,715598.2,5.19,1,P15
2646751.87,715598.99,5.45,1,P16
2646751.44,715599.86,5.7,1,P17
2646751.07,715600.77,5.9,1,P18
2646750.75,715601.76,6.09,1,P19
2646750.47,715602.79,6.27,1,P20
2646750.27,715603.88,6.42,1,P21
2646750.16,715605.02,6.47,1,P22
2646750.08,715606.17,6.43,1,P23
2646750.09,715607.38,6.33,1,P24
2646750.17,715608.61,6.16,1,P25
2646750.33,715609.86,5.99,1,P26
2646750.52,715611.13,5.85,1,P27
2646750.76,715612.38,5.71,1,P28
2646750.96,715613.6,5.59,1,P29
2646751.15,715614.75,5.46,1,P30
2646751.33,715615.87,5.33,1,P31
2646751.52,715617.01,5.19,1,P32
2646751.69,715618.18,5.12,1,P33
2646751.87,715619.34,5.08,1,P34
2646752.03,715620.53,5.04,1,P35
2646752.18,715621.71,4.97,1,P36
2646752.32,715622.9,4.9,1,P37
2646752.41,715624.06,4.79,1,P38
2646752.51,715625.23,4.66,1,P39
2646752.59,715626.4,4.52,1,P40
2646752.66,715627.57,4.39,1,P41
2646752.72,715628.73,4.28,1,P42
2646752.77,715629.89,4.18,1,P43
2646752.84,715631.03,4.09,1,P44
2646752.84,715632.14,4.02,1,P45
2646752.87,715633.28,3.96,1,P46
2646752.9,715634.44,3.92,1,P47
2646752.9,715635.59,3.89,1,P48
2646752.92,715636.74,3.88,1,P49
2646752.9,715637.88,3.87,1,P50
2646752.89,715639.01,3.85,1,P51
2646752.86,715640.12,3.78,1,P52
2646752.83,715641.24,3.7,1,P53
2646752.78,715642.35,3.6,1,P54
2646752.73,715643.46,3.49,1,P55
2646752.65,715644.55,3.36,1,P56
2646752.58,715645.65,3.24,1,P57
2646752.49,715646.75,3.1,1,P58
2646752.4,715647.83,2.96,1,P59
2646752.31,715648.91,2.81,1,P60
2646752.22,715650.02,2.66,1,P61
2646752.13,715651.11,2.52,1,P62
2646752.06,715652.19,2.4,1,P63
2646751.98,715653.27,2.29,1,P64
2646751.91,715654.36,2.18,1,P65
2646751.82,715655.41,2.08,1,P66
2646751.76,715656.49,1.98,1,P67
2646751.71,715657.57,1.89,1,P68
2646751.65,715658.64,1.8,1,P69
2646751.6,715659.71,1.73,1,P70
2646751.57,715660.77,1.68,1,P71
2646751.56,715661.83,1.64,1,P72
2646751.54,715662.89,1.6,1,P73
2646751.56,715663.93,1.57,1,P74
2646751.57,715664.97,1.56,1,P75
2646751.61,715665.99,1.55,1,P76
2646751.65,715667,1.54,1,P77
2646751.72,715668.01,1.54,1,P78
2646751.8,715669,1.54,1,P79
2646751.94,715669.95,1.53,1,P80
2646752.16,715670.84,1.53,1,P81
2646759.96,715674.88,0.96,2,P82
2646760.21,715674.51,1.19,2,P83
2646760.45,715674.11,1.24,2,P84
2646760.69,715673.7,1.27,2,P85
2646760.93,715673.27,1.3,2,P86
