N,E,Date,Time,RL,Others,Section No
2646758.08,715590.95,16-11-2024,35:08.7,2.76,-44.91,1
2646757.76,715591.38,16-11-2024,35:09.7,2.98,-45.11,1
2646757.45,715591.79,16-11-2024,35:10.7,3.1,-45.26,1
2646757.14,715592.22,16-11-2024,35:11.9,3.2,-45.33,1
2646756.78,715592.63,16-11-2024,35:12.7,3.27,-45.42,1
2646756.4,715593.07,16-11-2024,35:13.7,3.34,-45.55,1
2646755.99,715593.55,16-11-2024,35:14.7,3.43,-45.66,1
2646755.56,715594.01,16-11-2024,35:15.7,3.62,-45.83,1
2646755.09,715594.53,16-11-2024,35:16.8,3.8,-45.99,1
2646754.64,715595.02,16-11-2024,35:17.7,3.99,-46.21,1
2646754.17,715595.58,16-11-2024,35:18.7,4.18,-46.39,1
2646753.69,715596.16,16-11-2024,35:19.7,4.4,-46.58,1
2646753.23,715596.79,16-11-2024,35:20.7,4.63,-46.86,1
2646752.78,715597.46,16-11-2024,35:21.8,4.91,-47.14,1
2646752.32,715598.2,16-11-2024,35:22.7,5.19,-47.45,1
2646751.87,715598.99,16-11-2024,35:23.7,5.45,-47.71,1
2646751.44,715599.86,16-11-2024,35:24.7,5.7,-47.95,1
2646751.07,715600.77,16-11-2024,35:25.7,5.9,-48.13,1
2646750.75,715601.76,16-11-2024,35:26.8,6.09,-48.29,1
2646750.47,715602.79,16-11-2024,35:27.8,6.27,-48.49,1
2646750.27,715603.88,16-11-2024,35:28.7,6.42,-48.64,1
2646750.16,715605.02,16-11-2024,35:29.7,6.47,-48.74,1
2646750.08,715606.17,16-11-2024,35:30.7,6.43,-48.75,1
2646750.09,715607.38,16-11-2024,35:31.8,6.33,-48.64,1
2646750.17,715608.61,16-11-2024,35:32.7,6.16,-48.47,1
2646750.33,715609.86,16-11-2024,35:33.7,5.99,-48.31,1
2646750.52,715611.13,16-11-2024,35:34.8,5.85,-48.15,1
2646750.76,715612.38,16-11-2024,35:35.7,5.71,-47.98,1
2646750.96,715613.6,16-11-2024,35:36.8,5.59,-47.86,1
2646751.15,715614.75,16-11-2024,35:37.8,5.46,-47.69,1
2646751.33,715615.87,16-11-2024,35:38.8,5.33,-47.55,1
2646751.52,715617.01,16-11-2024,35:39.7,5.19,-47.42,1
2646751.69,715618.18,16-11-2024,35:40.8,5.12,-47.36,1
2646751.87,715619.34,16-11-2024,35:41.8,5.08,-47.31,1
2646752.03,715620.53,16-11-2024,35:42.7,5.04,-47.29,1
2646752.18,715621.71,16-11-2024,35:43.7,4.97,-47.25,1
2646752.32,715622.9,16-11-2024,35:44.7,4.9,-47.18,1
2646752.41,715624.06,16-11-2024,35:45.7,4.79,-47.07,1
2646752.51,715625.23,16-11-2024,35:46.8,4.66,-46.93,1
2646752.59,715626.4,16-11-2024,35:47.7,4.52,-46.8,1
2646752.66,715627.57,16-11-2024,35:48.7,4.39,-46.62,1
2646752.72,715628.73,16-11-2024,35:49.6,4.28,-46.52,1
2646752.77,715629.89,16-11-2024,35:50.7,4.18,-46.39,1
2646752.84,715631.03,16-11-2024,35:51.8,4.09,-46.29,1
2646752.84,715632.14,16-11-2024,35:52.7,4.02,-46.2,1
2646752.87,715633.28,16-11-2024,35:53.7,3.96,-46.09,1
2646752.9,715634.44,16-11-2024,35:54.7,3.92,-46.08,1
2646752.9,715635.59,16-11-2024,35:55.7,3.89,-46.07,1
2646752.92,715636.74,16-11-2024,35:56.8,3.88,-46.09,1
2646752.9,715637.88,16-11-2024,35:57.7,3.87,-46.09,1
2646752.89,715639.01,16-11-2024,35:58.7,3.85,-46.08,1
2646752.86,715640.12,16-11-2024,35:59.7,3.78,-46.04,1
2646752.83,715641.24,16-11-2024,36:00.7,3.7,-45.98,1
2646752.78,715642.35,16-11-2024,36:01.8,3.6,-45.89,1
