Northing,Easting,RL,
2646758.08,715590.95,4.66,
2646757.76,715591.38,4.44,
2646757.45,715591.79,4.32,
2646757.14,715592.22,4.22,
2646756.78,715592.63,4.15,
2646756.4,715593.07,4.08,
2646755.99,715593.55,3.99,
2646755.56,715594.01,3.8,
2646755.09,715594.53,3.62,
2646754.64,715595.02,3.43,
2646754.17,715595.58,3.24,
2646753.69,715596.16,3.02,
2646753.23,715596.79,2.79,
2646752.78,715597.46,2.51,
2646752.32,715598.2,2.23,
2646751.87,715598.99,1.97,
2646751.44,715599.86,1.72,
2646751.07,715600.77,1.52,
2646750.75,715601.76,1.33,
2646750.47,715602.79,1.15,
2646750.27,715603.88,1,
2646750.16,715605.02,0.95,
2646750.08,715606.17,0.99,
2646750.09,715607.38,1.09,
2646750.17,715608.61,1.26,
2646750.33,715609.86,1.43,
2646750.52,715611.13,1.57,
2646750.76,715612.38,1.71,
2646750.96,715613.6,1.83,
2646751.15,715614.75,1.96,
2646751.33,715615.87,2.09,
2646751.52,715617.01,2.23,
2646751.69,715618.18,2.3,
2646751.87,715619.34,2.34,
2646752.03,715620.53,2.38,
2646752.18,715621.71,2.45,
2646752.32,715622.9,2.52,
2646752.41,715624.06,2.63,
2646752.51,715625.23,2.76,
2646752.59,715626.4,2.9,
2646752.66,715627.57,3.03,
2646752.72,715628.73,3.14,
2646752.77,715629.89,3.24,
2646752.84,715631.03,3.33,
2646752.84,715632.14,3.4,
2646752.87,715633.28,3.46,
2646752.9,715634.44,3.5,
2646752.9,715635.59,3.53,
2646752.92,715636.74,3.54,
2646752.9,715637.88,3.55,
2646752.89,715639.01,3.57,
2646752.86,715640.12,3.64,
2646752.83,715641.24,3.72,
2646752.78,715642.35,3.82,
2646752.73,715643.46,3.93,
2646752.65,715644.55,4.06,
2646752.58,715645.65,4.18,
2646752.49,715646.75,4.32,
2646752.4,715647.83,4.46,
2646752.31,715648.91,4.61,
2646752.22,715650.02,4.76,
2646752.13,715651.11,4.9,
2646752.06,715652.19,5.02,
2646751.98,715653.27,5.13,
2646751.91,715654.36,5.24,
2646751.82,715655.41,5.34,
2646751.76,715656.49,5.44,
2646751.71,715657.57,5.53,
2646751.65,715658.64,5.62,
2646751.6,715659.71,5.69,
2646751.57,715660.77,5.74,
2646751.56,715661.83,5.78,
2646751.54,715662.89,5.82,
2646751.56,715663.93,5.85,
2646751.57,715664.97,5.86,
2646751.61,715665.99,5.87,
2646751.65,715667,5.88,
2646751.72,715668.01,5.88,
2646751.8,715669,5.88,
2646751.94,715669.95,5.89,
2646752.16,715670.84,5.89,
2646759.96,715674.88,6.46,
2646760.21,715674.51,6.23,
2646760.45,715674.11,6.18,
2646760.69,715673.7,6.15,
2646760.93,715673.27,6.12,
2646761.14,715672.82,6.05,
2646761.37,715672.37,6.02,
2646761.62,715671.91,5.88,
2646761.87,715671.44,5.74,
2646762.07,715670.93,5.72,
2646762.26,715670.41,5.66,
2646762.43,715669.89,5.64,
2646762.59,715669.36,5.63,
2646762.74,715668.83,5.62,
2646762.89,715668.27,5.61,
2646763.04,715667.69,5.57,
2646763.19,715667.11,5.59,
2646763.34,715666.48,5.57,
2646763.5,715665.85,5.57,
2646763.66,715665.18,5.51,
2646763.82,715664.49,5.49,
2646764,715663.77,5.44,
2646764.15,715663.03,5.47,
2646764.3,715662.26,5.48,
2646764.43,715661.45,5.48,
2646764.55,715660.62,5.47,
2646764.66,715659.76,5.49,
2646764.75,715658.87,5.47,
2646764.8,715657.96,5.43,
2646764.84,715657.02,5.36,
2646764.86,715656.06,5.3,
2646764.88,715655.09,5.21,
2646764.87,715654.13,5.17,
2646764.87,715653.15,5.01,
2646764.86,715652.16,4.86,
2646764.84,715651.12,4.7,
2646764.82,715650.06,4.55,
2646764.79,715648.98,4.39,
2646764.76,715647.87,4.23,
2646764.72,715646.77,4.1,
2646764.67,715645.67,3.99,
2646764.61,715644.53,3.89,
2646764.54,715643.37,3.78,
2646764.49,715642.2,3.68,
2646764.42,715641.01,3.57,
2646764.34,715639.82,3.47,
2646764.26,715638.62,3.36,
2646764.18,715637.43,3.23,
2646764.1,715636.25,3.11,
2646764,715635.06,2.99,
2646763.91,715633.89,2.87,
2646763.84,715632.71,2.75,
2646763.73,715631.51,2.64,
2646763.63,715630.34,2.55,
2646763.52,715629.17,2.48,
2646763.41,715628.01,2.42,
2646763.33,715626.86,2.36,
2646763.24,715625.71,2.3,
