Northing,Easting,Date,Time,Depth,Sec- no,,Distance,WL,RL
2646758.08,715590.95,16-11-2024,9:35:09 AM,2.76,1,0,0,7.42,4.66
2646757.76,715591.38,16-11-2024,9:35:10 AM,2.98,1,0.536003732,0.54,7.42,4.44
2646757.45,715591.79,16-11-2024,9:35:11 AM,3.1,1,0.514003891,1.05,7.42,4.32
2646757.14,715592.22,16-11-2024,9:35:12 AM,3.2,1,0.530094331,1.58,7.42,4.22
2646756.78,715592.63,16-11-2024,9:35:13 AM,3.27,1,0.545618915,2.13,7.42,4.15
2646756.4,715593.07,16-11-2024,9:35:14 AM,3.34,1,0.581377674,2.71,7.42,4.08
2646755.99,715593.55,16-11-2024,9:35:15 AM,3.43,1,0.631268564,3.34,7.42,3.99
2646755.56,715594.01,16-11-2024,9:35:16 AM,3.62,1,0.62968246,3.97,7.42,3.8
2646755.09,715594.53,16-11-2024,9:35:17 AM,3.8,1,0.700927957,4.67,7.42,3.62
2646754.64,715595.02,16-11-2024,9:35:18 AM,3.99,1,0.665281895,5.33,7.42,3.43
2646754.17,715595.58,16-11-2024,9:35:19 AM,4.18,1,0.731095069,6.07,7.42,3.24
2646753.69,715596.16,16-11-2024,9:35:20 AM,4.4,1,0.752861209,6.82,7.42,3.02
2646753.23,715596.79,16-11-2024,9:35:21 AM,4.63,1,0.7800641,7.6,7.42,2.79
2646752.78,715597.46,16-11-2024,9:35:22 AM,4.91,1,0.807093551,8.41,7.42,2.51
2646752.32,715598.2,16-11-2024,9:35:23 AM,5.19,1,0.871320836,9.28,7.42,2.23
2646751.87,715598.99,16-11-2024,9:35:24 AM,5.45,1,0.909175451,10.19,7.42,1.97
2646751.44,715599.86,16-11-2024,9:35:25 AM,5.7,1,0.970463807,11.16,7.42,1.72
2646751.07,715600.77,16-11-2024,9:35:26 AM,5.9,1,0.982344135,12.14,7.42,1.52
2646750.75,715601.76,16-11-2024,9:35:27 AM,6.09,1,1.040432602,13.18,7.42,1.33
2646750.47,715602.79,16-11-2024,9:35:28 AM,6.27,1,1.06737997,14.25,7.42,1.15
2646750.27,715603.88,16-11-2024,9:35:29 AM,6.42,1,1.108196733,15.35,7.42,1
2646750.16,715605.02,16-11-2024,9:35:30 AM,6.47,1,1.145294722,16.5,7.42,0.95
2646750.08,715606.17,16-11-2024,9:35:31 AM,6.43,1,1.15277925,17.65,7.42,0.99
2646750.09,715607.38,16-11-2024,9:35:32 AM,6.33,1,1.210041322,18.86,7.42,1.09
2646750.17,715608.61,16-11-2024,9:35:33 AM,6.16,1,1.23259888,20.1,7.42,1.26
2646750.33,715609.86,16-11-2024,9:35:34 AM,5.99,1,1.260198397,21.36,7.42,1.43
2646750.52,715611.13,16-11-2024,9:35:35 AM,5.85,1,1.284133949,22.64,7.42,1.57
2646750.76,715612.38,16-11-2024,9:35:36 AM,5.71,1,1.272831489,23.91,7.42,1.71
2646750.96,715613.6,16-11-2024,9:35:37 AM,5.59,1,1.236284757,25.15,7.42,1.83
2646751.15,715614.75,16-11-2024,9:35:38 AM,5.46,1,1.165589979,26.31,7.42,1.96
2646751.33,715615.87,16-11-2024,9:35:39 AM,5.33,1,1.134372073,27.45,7.42,2.09
2646751.52,715617.01,16-11-2024,9:35:40 AM,5.19,1,1.155724881,28.6,7.42,2.23
