Northing,Easting,RL
2646758.080000000074506,715590.949999999953434,4.660000000000000
2646757.759999999776483,715591.380000000004657,4.440000000000001
2646757.450000000186265,715591.790000000037253,4.320000000000001
2646757.140000000130385,715592.219999999972060,4.220000000000000
2646756.779999999329448,715592.630000000004657,4.150000000000001
2646756.399999999906868,715593.069999999948777,4.080000000000000
2646755.990000000223517,715593.550000000046566,3.990000000000000
2646755.560000000055879,715594.010000000009313,3.800000000000000
2646755.089999999850988,715594.530000000027940,3.620000000000000
2646754.640000000130385,715595.020000000135042,3.430000000000000
2646754.169999999925494,715595.580000000074506,3.240000000000000
2646753.689999999944121,715596.160000000032596,3.020000000000000
2646753.229999999981374,715596.790000000037253,2.790000000000000
2646752.779999999795109,715597.459999999962747,2.510000000000000
2646752.319999999832362,715598.199999999953434,2.230000000000000
2646751.870000000111759,715598.989999999990687,1.970000000000000
2646751.440000000409782,715599.860000000102445,1.720000000000000
2646751.069999999832362,715600.770000000018626,1.520000000000000
2646750.750000000000000,715601.760000000009313,1.330000000000000
2646750.470000000204891,715602.789999999920838,1.150000000000000
2646750.270000000018626,715603.880000000004657,1.000000000000000
2646750.160000000149012,715605.020000000018626,0.950000000000000
2646750.080000000074506,715606.170000000041910,0.990000000000000
2646750.089999999850988,715607.380000000004657,1.090000000000000
2646750.169999999925494,715608.609999999986030,1.260000000000000
2646750.330000000074506,715609.859999999986030,1.430000000000000
2646750.519999999552965,715611.130000000004657,1.570000000000000
2646750.759999999776483,715612.380000000004657,1.710000000000000
2646750.959999999962747,715613.599999999976717,1.830000000000000
2646751.149999999906868,715614.750000000000000,1.960000000000000
2646751.330000000074506,715615.869999999995343,2.090000000000000
2646751.520000000018626,715617.010000000009313,2.230000000000000
2646751.689999999944121,715618.180000000167638,2.300000000000000
2646751.870000000111759,715619.339999999967404,2.340000000000000
2646752.029999999795109,715620.530000000027940,2.380000000000000
2646752.180000000167638,715621.709999999962747,2.450000000000000
2646752.319999999832362,715622.900000000023283,2.520000000000000
2646752.410000000149012,715624.060000000055879,2.630000000000000
2646752.509999999776483,715625.229999999981374,2.760000000000000
2646752.589999999850988,715626.400000000023283,2.900000000000000
2646752.660000000149012,715627.569999999948777,3.030000000000000
2646752.720000000204891,715628.729999999981374,3.140000000000000
2646752.770000000018626,715629.890000000013970,3.240000000000000
2646752.839999999850988,715631.030000000027940,3.330000000000000
2646752.839999999850988,715632.139999999897555,3.400000000000000
2646752.870000000111759,715633.280000000027940,3.460000000000000
2646752.899999999906868,715634.439999999944121,3.500000000000000
2646752.899999999906868,715635.589999999967404,3.530000000000000
2646752.919999999925494,715636.739999999990687,3.540000000000000
2646752.899999999906868,715637.880000000004657,3.550000000000000
2646752.889999999664724,715639.010000000009313,3.570000000000000
2646752.859999999869615,715640.119999999995343,3.640000000000000
2646752.830000000074506,715641.239999999990687,3.720000000000000
2646752.779999999795109,715642.349999999976717,3.820000000000000
2646752.729999999981374,715643.459999999962747,3.930000000000000
2646752.649999999906868,715644.550000000162981,4.060000000000000
2646752.580000000074506,715645.650000000023283,4.180000000000000
2646752.490000000689179,715646.750000000000000,4.320000000000001
2646752.399999999906868,715647.829999999958090,4.460000000000000
2646752.310000000055879,715648.910000000032596,4.610000000000000
2646752.220000000204891,715650.020000000018626,4.760000000000000
2646752.129999999888241,715651.109999999986030,4.900000000000000
2646752.060000000055879,715652.190000000060536,5.020000000000000
2646751.979999999981374,715653.270000000018626,5.130000000000000
2646751.910000000149012,715654.359999999986030,5.240000000000000
2646751.819999999832362,715655.410000000032596,5.340000000000000
2646751.759999999776483,715656.489999999990687,5.440000000000000
2646751.709999999962747,715657.569999999948777,5.530000000000000
2646751.649999999906868,715658.640000000013970,5.620000000000000
2646751.600000000093132,715659.709999999962747,5.690000000000000
2646751.569999999832362,715660.770000000018626,5.740000000000000
2646751.560000000055879,715661.829999999958090,5.780000000000000
2646751.540000000037253,715662.890000000013970,5.820000000000000
2646751.560000000055879,715663.930000000051223,5.850000000000000
2646751.569999999832362,715664.969999999972060,5.860000000000000
2646751.609999999869615,715665.989999999990687,5.870000000000000
2646751.649999999906868,715667.000000000000000,5.880000000000000
2646751.720000000204891,715668.010000000009313,5.880000000000000
2646751.799999999813735,715669.000000000000000,5.880000000000000
2646751.939999999944121,715669.949999999953434,5.890000000000000
2646752.160000000614673,715670.840000000083819,5.890000000000000
2646759.959999999962747,715674.880000000004657,6.460000000000000
2646760.209999999962747,715674.510000000125729,6.230000000000000
2646760.450000000186265,715674.109999999986030,6.180000000000000
2646760.689999999944121,715673.699999999953434,6.150000000000000
2646760.930000000167638,715673.270000000018626,6.120000000000000
2646761.140000000130385,715672.819999999948777,6.050000000000000
2646761.370000000111759,715672.370000000111759,6.020000000000000
2646761.620000000111759,715671.910000000032596,5.880000000000000
2646761.870000000111759,715671.439999999944121,5.740000000000000
2646762.069999999832362,715670.930000000051223,5.720000000000000
2646762.259999999776483,715670.410000000032596,5.660000000000000
2646762.430000000633299,715669.890000000013970,5.640000000000000
2646762.589999999850988,715669.359999999986030,5.630000000000000
2646762.740000000223517,715668.829999999958090,5.620000000000000
2646762.890000000130385,715668.270000000018626,5.610000000000000
2646763.040000000037253,715667.689999999944121,5.570000000000000
2646763.189999999944121,715667.109999999986030,5.590000000000000
2646763.339999999850988,715666.479999999981374,5.570000000000000
2646763.500000000000000,715665.849999999976717,5.570000000000000
2646763.660000000149012,715665.180000000051223,5.510000000000000
2646763.820000000298023,715664.489999999990687,5.490000000000000
2646764.000000000000000,715663.770000000018626,5.440000000000000
2646764.149999999441206,715663.030000000027940,5.470000000000000
2646764.299999999813735,715662.260000000009313,5.480000000000000
2646764.430000000167638,715661.449999999953434,5.480000000000000
2646764.549999999813735,715660.619999999995343,5.470000000000000
2646764.660000000149012,715659.760000000009313,5.490000000000000
2646764.750000000000000,715658.869999999995343,5.470000000000000
2646764.799999999813735,715657.959999999962747,5.430000000000000
2646764.839999999850988,715657.020000000018626,5.360000000000000
2646764.859999999869615,715656.060000000055879,5.300000000000000
2646764.879999999888241,715655.089999999967404,5.210000000000000
2646764.870000000577420,715654.130000000004657,5.170000000000000
2646764.870000000577420,715653.150000000023283,5.010000000000000
2646764.859999999869615,715652.160000000032596,4.860000000000000
2646764.839999999850988,715651.119999999878928,4.700000000000000
2646764.819999999832362,715650.060000000055879,4.550000000000000
2646764.790000000037253,715648.979999999864958,4.390000000000000
2646764.759999999776483,715647.869999999995343,4.230000000000001
2646764.720000000204891,715646.770000000018626,4.100000000000000
2646764.669999999925494,715645.670000000158325,3.990000000000000
2646764.610000000335276,715644.530000000027940,3.890000000000000
2646764.540000000502914,715643.369999999995343,3.780000000000000
2646764.490000000223517,715642.199999999953434,3.680000000000000
2646764.419999999925494,715641.010000000009313,3.570000000000000
2646764.339999999850988,715639.819999999948777,3.470000000000000
2646764.259999999776483,715638.619999999995343,3.360000000000000
2646764.180000000167638,715637.430000000051223,3.230000000000000
2646764.100000000093132,715636.250000000000000,3.110000000000000
2646764.000000000000000,715635.060000000055879,2.990000000000000
2646763.910000000149012,715633.890000000013970,2.870000000000000
2646763.839999999850988,715632.709999999962747,2.750000000000000
2646763.729999999981374,715631.510000000009313,2.640000000000000
2646763.629999999888241,715630.339999999967404,2.550000000000000
2646763.520000000018626,715629.170000000041910,2.480000000000000
2646763.410000000149012,715628.010000000009313,2.420000000000000
2646763.330000000074506,715626.859999999986030,2.360000000000000
2646763.240000000223517,715625.709999999962747,2.300000000000000
2646763.140000000130385,715624.560000000055879,2.250000000000000
2646763.049999999813735,715623.420000000041910,2.190000000000000
2646762.970000000204891,715622.279999999911524,2.130000000000000
2646762.910000000149012,715621.180000000051223,2.040000000000000
2646762.870000000111759,715620.130000000004657,1.950000000000000
2646762.830000000540167,715619.089999999967404,1.860000000000000
2646762.779999999795109,715618.050000000046566,1.780000000000000
2646762.759999999776483,715617.010000000009313,1.660000000000000
2646762.790000000037253,715616.010000000009313,1.530000000000000
2646762.830000000540167,715615.010000000009313,1.410000000000000
2646762.870000000111759,715614.020000000018626,1.280000000000000
2646762.919999999925494,715613.060000000172295,1.170000000000000
2646763.000000000000000,715612.119999999995343,1.070000000000000
2646763.100000000093132,715611.219999999972060,0.960000000000000
2646763.229999999515712,715610.349999999976717,0.900000000000000
2646763.370000000111759,715609.500000000000000,0.840000000000000
2646763.560000000055879,715608.660000000032596,0.780000000000000
2646763.779999999795109,715607.869999999995343,0.720000000000000
2646764.040000000037253,715607.109999999986030,0.710000000000000
2646764.330000000074506,715606.369999999995343,0.690000000000000
2646764.640000000130385,715605.650000000023283,0.700000000000000
2646765.009999999310821,715604.959999999962747,0.730000000000000
2646765.410000000149012,715604.300000000046566,0.750000000000000
2646765.830000000074506,715603.660000000032596,0.850000000000000
2646766.290000000037253,715603.040000000037253,0.930000000000000
2646766.779999999795109,715602.449999999953434,1.020000000000000
2646767.270000000018626,715601.890000000013970,1.170000000000000
2646767.769999999552965,715601.349999999976717,1.320000000000000
2646768.279999999795109,715600.839999999967404,1.500000000000000
2646768.779999999795109,715600.339999999967404,1.680000000000000
2646769.279999999795109,715599.869999999995343,1.900000000000000
2646769.770000000018626,715599.420000000041910,2.110000000000000
2646770.250000000000000,715599.000000000000000,2.350000000000000
2646770.730000000447035,715598.599999999976717,2.600000000000000
2646771.180000000167638,715598.219999999972060,2.810000000000000
2646771.640000000130385,715597.849999999976717,2.940000000000000
2646772.069999999832362,715597.500000000000000,3.090000000000000
2646772.450000000186265,715597.189999999944121,3.210000000000000
2646772.819999999832362,715596.890000000013970,3.340000000000000
2646773.189999999944121,715596.589999999967404,3.480000000000000
2646774.090000000316650,715601.769999999902211,0.240000000000000
2646774.359999999869615,715602.339999999967404,0.090000000000000
2646774.589999999850988,715602.930000000051223,0.010000000000000
2646774.850000000093132,715603.550000000046566,-0.090000000000000
2646775.069999999832362,715604.190000000060536,-0.210000000000000
2646775.279999999329448,715604.880000000121072,-0.280000000000000
2646775.529999999795109,715605.630000000004657,-0.340000000000000
2646775.729999999981374,715606.430000000051223,-0.490000000000000
2646775.939999999944121,715607.290000000037253,-0.630000000000000
2646776.100000000093132,715608.209999999962747,-0.730000000000000
2646776.250000000000000,715609.199999999953434,-0.780000000000000
2646776.399999999441206,715610.250000000000000,-0.800000000000000
2646776.529999999329448,715611.380000000004657,-0.750000000000000
2646776.640000000130385,715612.569999999948777,-0.640000000000000
2646776.770000000018626,715613.800000000046566,-0.460000000000000
2646776.910000000149012,715615.070000000065193,-0.240000000000000
2646777.060000000055879,715616.370000000111759,-0.020000000000000
2646777.209999999962747,715617.670000000158325,0.210000000000000
2646777.399999999906868,715619.000000000000000,0.460000000000000
2646777.600000000093132,715620.280000000027940,0.740000000000000
2646777.780000000260770,715621.550000000046566,1.020000000000000
2646777.950000000186265,715622.810000000055879,1.290000000000000
2646778.109999999403954,715624.109999999986030,1.560000000000000
2646778.279999999795109,715625.439999999944121,1.780000000000000
2646778.390000000130385,715626.780000000027940,2.010000000000000
2646778.470000000204891,715628.150000000023283,2.210000000000000
2646778.500000000465661,715629.540000000037253,2.400000000000000
2646778.520000000018626,715630.930000000051223,2.600000000000000
2646778.490000000223517,715632.339999999967404,2.790000000000000
2646778.419999999925494,715633.750000000000000,2.990000000000000
2646778.339999999850988,715635.170000000041910,3.190000000000000
2646778.220000000204891,715636.619999999995343,3.390000000000000
2646778.069999999832362,715638.089999999967404,3.560000000000000
2646777.879999999888241,715639.520000000018626,3.710000000000000
2646777.689999999944121,715640.939999999944121,3.840000000000000
2646777.479999999981374,715642.369999999995343,3.960000000000000
2646777.270000000018626,715643.770000000018626,4.090000000000000
2646777.060000000055879,715645.150000000023283,4.210000000000000
2646776.819999999832362,715646.530000000027940,4.330000000000000
2646776.629999999888241,715647.910000000032596,4.440000000000001
2646776.439999999944121,715649.270000000018626,4.540000000000000
2646776.259999999776483,715650.609999999869615,4.620000000000000
2646776.100000000093132,715651.900000000023283,4.710000000000000
2646775.930000000633299,715653.180000000051223,4.790000000000000
2646775.790000000037253,715654.439999999944121,4.870000000000000
2646775.649999999906868,715655.680000000051223,4.940000000000000
2646775.509999999776483,715656.900000000023283,4.990000000000000
2646775.370000000111759,715658.089999999967404,5.050000000000000
2646775.259999999776483,715659.250000000000000,5.100000000000000
2646775.140000000596046,715660.400000000023283,5.160000000000000
2646775.020000000018626,715661.530000000027940,5.210000000000000
2646774.919999999925494,715662.650000000023283,5.270000000000000
2646774.819999999366701,715663.750000000000000,5.340000000000000
2646774.709999999962747,715664.839999999967404,5.390000000000000
2646774.600000000093132,715665.930000000051223,5.440000000000000
2646774.479999999981374,715666.989999999990687,5.480000000000000
2646774.390000000130385,715668.060000000055879,5.530000000000000
2646774.299999999813735,715669.119999999995343,5.580000000000000
2646774.200000000186265,715670.160000000032596,5.630000000000000
2646774.090000000316650,715671.189999999944121,5.670000000000000
2646773.990000000223517,715672.219999999972060,5.710000000000000
2646773.899999999906868,715673.229999999981374,5.750000000000000
2646773.799999999813735,715674.230000000097789,5.780000000000000
2646773.689999999944121,715675.260000000009313,5.810000000000000
2646773.609999999869615,715676.280000000027940,5.830000000000000
2646773.520000000018626,715677.290000000037253,5.860000000000000
2646773.419999999925494,715678.300000000046566,5.880000000000000
2646773.330000000074506,715679.310000000055879,5.860000000000000
