Sl No.,Easting,Northing,Distance,Elevation,CS No.,
1,771401.0,2575325.1,0.00,6.509,1,
2,771400.0,2575325.7,1.94,6.432,1,
3,771396.0,2575328.0,3.33,6.263,1,
4,771396.0,2575328.0,4.14,5.704,1,
5,771392.0,2575330.4,8.17,5.538,1,
6,771389.3,2575332.0,11.99,3.016,1,
7,771388.0,2575332.8,16.11,2.996,1,
8,771384.0,2575335.1,21.38,1.460,1,
9,771382.5,2575336.0,22.30,1.096,1,
10,771380.0,2575337.5,24.40,-1.848,1,
11,771376.0,2575339.8,29.04,-4.242,1,
12,771375.7,2575340.0,29.35,-4.377,1,
13,771372.0,2575342.2,33.69,-6.325,1,
14,771369.0,2575344.0,37.22,-7.600,1,
15,771368.0,2575344.6,38.33,-7.913,1,
16,771364.0,2575346.9,42.98,-9.375,1,
17,771362.2,2575348.0,45.08,-9.980,1,
18,771360.0,2575349.3,47.62,-10.618,1,
19,771356.0,2575351.7,52.27,-11.360,1,
20,771355.4,2575352.0,52.95,-11.451,1,
21,771352.0,2575354.0,56.92,-11.848,1,
22,771348.6,2575356.0,60.81,-12.394,1,
23,771348.0,2575356.4,61.56,-12.489,1,
24,771344.0,2575358.7,66.21,-13.287,1,
25,771341.9,2575360.0,68.68,-13.737,1,
26,771340.0,2575361.1,70.85,-14.189,1,
27,771336.0,2575363.5,75.50,-15.059,1,
28,771335.1,2575364.0,76.54,-15.193,1,
29,771332.0,2575365.8,80.14,-15.674,1,
30,771328.3,2575368.0,84.41,-15.820,1,
31,771328.0,2575368.2,84.79,-15.823,1,
32,771324.0,2575370.6,89.43,-15.480,1,
33,771321.6,2575372.0,92.27,-15.124,1,
34,771320.0,2575372.9,94.08,-14.887,1,
35,771316.0,2575375.3,98.73,-14.072,1,
36,771314.8,2575376.0,100.14,-13.747,1,
37,771312.0,2575377.6,103.37,-12.915,1,
38,771308.0,2575380.0,108.00,-11.782,1,
39,771308.0,2575380.0,108.02,-11.779,1,
40,771304.0,2575382.4,112.66,-10.775,1,
41,771301.2,2575384.0,115.87,-10.149,1,
42,771300.0,2575384.7,117.31,-9.901,1,
43,771296.0,2575387.1,121.95,-9.061,1,
44,771294.5,2575388.0,123.73,-8.691,1,
45,771292.0,2575389.5,126.60,-8.115,1,
46,771288.0,2575391.8,131.25,-7.256,1,
47,771287.7,2575392.0,131.60,-7.206,1,
48,771284.0,2575394.2,135.89,-6.770,1,
49,771280.9,2575396.0,139.46,-6.456,1,
50,771280.0,2575396.5,140.54,-6.352,1,
51,771276.0,2575398.9,145.18,-5.880,1,
52,771274.2,2575400.0,147.33,-5.684,1,
53,771272.0,2575401.3,149.83,-5.453,1,
54,771268.0,2575403.6,154.47,-5.076,1,
55,771267.4,2575404.0,155.19,-5.017,1,
56,771264.0,2575406.0,159.12,-4.714,1,
57,771260.6,2575408.0,163.06,-4.440,1,
58,771260.0,2575408.4,163.77,-4.393,1,
59,771256.0,2575410.7,168.41,-4.121,1,
60,771253.8,2575412.0,170.92,-4.007,1,
61,771252.0,2575413.1,173.06,-3.908,1,
62,771248.0,2575415.4,177.70,-3.728,1,
63,771247.1,2575416.0,178.79,-3.688,1,
64,771244.0,2575417.8,182.35,-3.597,1,
65,771240.3,2575420.0,186.65,-3.462,1,
66,771240.0,2575420.2,186.99,-3.449,1,
67,771236.0,2575422.5,191.64,-3.256,1,
68,771233.5,2575424.0,194.52,-3.113,1,
69,771232.0,2575424.9,196.29,-3.023,1,
70,771228.0,2575427.3,200.93,-2.878,1,
71,771226.8,2575428.0,202.38,-2.815,1,
72,771225.0,2575429.0,204.37,-2.727,1,
73,771393.7,2575306.1,0.00,6.509,2,
74,771392.0,2575307.0,1.40,6.432,2,
75,771390.2,2575308.0,2.79,6.263,2,
76,771388.0,2575309.2,3.60,5.704,2,
77,771384.0,2575311.4,7.63,5.538,2,
78,771382.8,2575312.0,11.45,3.016,2,
79,771380.0,2575313.5,15.57,2.996,2,
80,771376.0,2575315.7,20.84,1.460,2,
81,771375.4,2575316.0,21.77,1.096,2,
82,771372.0,2575317.9,24.67,-1.485,2,
83,771368.1,2575320.0,29.13,-3.736,2,
84,771368.0,2575320.0,29.22,-3.778,2,
85,771364.0,2575322.2,33.77,-5.695,2,
86,771360.7,2575324.0,37.51,-7.700,2,
87,771360.0,2575324.4,38.32,-8.111,2,
88,771356.0,2575326.6,42.87,-10.200,2,
89,771353.4,2575328.0,45.88,-11.162,2,
90,771352.0,2575328.7,47.43,-11.606,2,
91,771348.0,2575330.9,51.98,-12.722,2,
92,771346.0,2575332.0,54.26,-13.021,2,
93,771344.0,2575333.1,56.53,-13.296,2,
94,771340.0,2575335.3,61.08,-13.785,2,
95,771338.6,2575336.0,62.64,-14.174,2,
96,771336.0,2575337.4,65.64,-14.816,2,
97,771332.0,2575339.6,70.19,-16.071,2,
98,771331.3,2575340.0,71.02,-16.186,2,
99,771328.0,2575341.8,74.74,-16.625,2,
100,771324.0,2575343.9,79.29,-16.963,2,
101,771323.9,2575344.0,79.40,-16.965,2,
102,771320.0,2575346.1,83.84,-17.078,2,
103,771316.5,2575348.0,87.78,-16.965,2,
104,771316.0,2575348.3,88.40,-16.940,2,
105,771312.0,2575350.5,92.95,-16.482,2,
106,771309.2,2575352.0,96.16,-16.044,2,
107,771308.0,2575352.6,97.50,-15.833,2,
108,771304.0,2575354.8,102.05,-15.097,2,
109,771301.8,2575356.0,104.53,-14.526,2,
110,771300.0,2575357.0,106.61,-13.994,2,
111,771296.0,2575359.2,111.16,-13.028,2,
112,771294.5,2575360.0,112.91,-12.550,2,
113,771292.0,2575361.3,115.71,-11.774,2,
114,771288.0,2575363.5,120.26,-10.894,2,
115,771287.1,2575364.0,121.29,-10.719,2,
116,771284.0,2575365.7,124.82,-10.086,2,
117,771280.0,2575367.9,129.37,-9.268,2,
118,771279.7,2575368.0,129.67,-9.214,2,
119,771276.0,2575370.0,133.92,-8.436,2,
120,771272.4,2575372.0,138.05,-7.662,2,
121,771272.0,2575372.2,138.47,-7.585,2,
122,771268.0,2575374.4,143.02,-6.784,2,
123,771265.0,2575376.0,146.43,-6.291,2,
124,771264.0,2575376.5,147.58,-6.121,2,
125,771260.0,2575378.7,152.13,-5.486,2,
126,771257.6,2575380.0,154.80,-5.262,2,
127,771256.0,2575380.9,156.68,-5.106,2,
128,771252.0,2575383.1,161.23,-4.776,2,
129,771250.3,2575384.0,163.18,-4.635,2,
130,771248.0,2575385.2,165.79,-4.456,2,
131,771244.0,2575387.4,170.34,-4.169,2,
132,771242.9,2575388.0,171.56,-4.084,2,
133,771240.0,2575389.6,174.89,-3.878,2,
134,771236.0,2575391.8,179.44,-3.619,2,
135,771235.6,2575392.0,179.94,-3.588,2,
136,771232.0,2575393.9,183.99,-3.368,2,
137,771228.2,2575396.0,188.32,-3.148,2,
138,771228.0,2575396.1,188.55,-3.136,2,
