2024-12-10 11:38:44,884 - __main__ - 12 - DEBUG - Sucessfully Setup Logger for this programme.............
2024-12-10 11:38:45,045 - __main__ - 54 - DEBUG - {'trial_no': 1, 'h': 20.0, 'Q_design': 2.510450859088205, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 860.0, 'P': 92.44271909999159, 'R': 9.303058243773341, 'T': 83.0, 'dp_dh': 4.47213595499958, 'R_2_3': 4.423341737688047, 'R_5_3': 41.1506058178255, 'f_h': 3793.4229534539395, 'f_prime_h': 551.1684680760202, 'h_calc': 13.11748916498117, 'Q_calc': 896.6288156244156}
2024-12-10 11:38:45,045 - __main__ - 54 - DEBUG - {'trial_no': 2, 'h': 13.11748916498117, 'Q_design': 2.510450859088205, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 383.48951148174024, 'P': 61.6631949340297, 'R': 6.219098959955223, 'T': 55.46995665992468, 'dp_dh': 4.47213595499958, 'R_2_3': 3.381829007696054, 'R_5_3': 21.031929264508936, 'f_h': 1286.245013118357, 'f_prime_h': 281.6475555549945, 'h_calc': 8.550628960624788, 'Q_calc': 305.6813078735449}
2024-12-10 11:38:45,045 - __main__ - 54 - DEBUG - {'trial_no': 3, 'h': 8.550628960624788, 'Q_design': 2.510450859088205, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 171.87839812642505, 'P': 41.2395752126708, 'R': 4.167802341320327, 'T': 37.20251584249915, 'dp_dh': 4.47213595499958, 'R_2_3': 2.5898309076170785, 'R_5_3': 10.793903320390207, 'f_h': 434.4850468617478, 'f_prime_h': 144.62002850392471, 'h_calc': 5.546307558143827, 'Q_calc': 104.91955851245379}
2024-12-10 11:38:45,045 - __main__ - 54 - DEBUG - {'trial_no': 4, 'h': 5.546307558143827, 'Q_design': 2.510450859088205, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 78.16197773347815, 'P': 27.80384144826093, 'R': 2.8111934776684255, 'T': 25.185230232575307, 'dp_dh': 4.47213595499958, 'R_2_3': 1.9918677084762706, 'R_5_3': 5.5995255104468455, 'f_h': 145.03737852017522, 'f_prime_h': 75.20748619701378, 'h_calc': 3.61781099677446, 'Q_calc': 36.696088818133546}
2024-12-10 11:38:45,045 - __main__ - 54 - DEBUG - {'trial_no': 5, 'h': 3.61781099677446, 'Q_design': 2.510450859088205, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 37.030545807087805, 'P': 19.17934263706793, 'R': 1.9307515647339677, 'T': 17.47124398709784, 'dp_dh': 4.47213595499958, 'R_2_3': 1.5505446029007082, 'R_5_3': 2.993716418240351, 'f_h': 46.766571985866264, 'f_prime_h': 40.478249903241235, 'h_calc': 2.4624603554385187, 'Q_calc': 13.533437587106492}
2024-12-10 11:38:45,045 - __main__ - 54 - DEBUG - {'trial_no': 6, 'h': 2.4624603554385187, 'Q_design': 2.510450859088205, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 19.514803070528348, 'P': 14.012457493317644, 'R': 1.3926752734011647, 'T': 12.849841421754075, 'dp_dh': 4.47213595499958, 'R_2_3': 1.2470960679576424, 'R_5_3': 1.7367998574004273, 'f_h': 13.685893218442448, 'f_prime_h': 23.792191799867343, 'h_calc': 1.8872341075348364, 'Q_calc': 5.736246826206751}
2024-12-10 11:38:45,045 - __main__ - 54 - DEBUG - {'trial_no': 7, 'h': 1.8872341075348364, 'Q_design': 2.510450859088205, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 12.78500747589013, 'P': 11.439967507808085, 'R': 1.1175737577195057, 'T': 10.548936430139346, 'dp_dh': 4.47213595499958, 'R_2_3': 1.0769217053048232, 'R_5_3': 1.2035394369672094, 'f_h': 3.1175110954893306, 'f_prime_h': 16.742770598818844, 'h_calc': 1.7010336769018526, 'Q_calc': 3.2452552711031415}
2024-12-10 11:38:45,053 - __main__ - 54 - DEBUG - {'trial_no': 8, 'h': 1.7010336769018526, 'Q_design': 2.510450859088205, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 10.89013217061403, 'P': 10.607253867137914, 'R': 1.0266683825068519, 'T': 9.80413470760741, 'dp_dh': 4.47213595499958, 'R_2_3': 1.0177008214642025, 'R_5_3': 1.0448412562485472, 'f_h': 0.43195549810645595, 'f_prime_h': 14.650348095013817, 'h_calc': 1.6715493605357814, 'Q_calc': 2.612263746382168}
2024-12-10 11:38:45,053 - __main__ - 54 - DEBUG - {'trial_no': 9, 'h': 1.6715493605357814, 'Q_design': 2.510450859088205, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 10.602802611022504, 'P': 10.475395995808624, 'R': 1.0121624629049688, 'T': 9.686197442143126, 'dp_dh': 4.47213595499958, 'R_2_3': 1.0080919606572765, 'R_5_3': 1.0203528417335679, 'f_h': 0.03765911482658524, 'f_prime_h': 14.327734401066245, 'h_calc': 1.6689209537149665, 'Q_calc': 2.5193271975773257}
2024-12-10 11:38:45,054 - __main__ - 54 - DEBUG - {'trial_no': 10, 'h': 1.6689209537149665, 'Q_design': 2.510450859088205, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 10.577357160642645, 'P': 10.463641403160892, 'R': 1.010867703995227, 'T': 9.675683814859866, 'dp_dh': 4.47213595499958, 'R_2_3': 1.0072320759842475, 'R_5_3': 1.0181783760405423, 'f_h': 0.0029124535597553347, 'f_prime_h': 14.299091219502479, 'h_calc': 1.6687172726897148, 'Q_calc': 2.5111373309755365}
2024-12-10 11:38:45,054 - __main__ - 54 - DEBUG - {'trial_no': 1, 'h': 20.0, 'Q_design': 2.510450859088205, 'n': 0.03, 's_0': 5e-05, 'B': 3, 'm': 2, 'A': 860.0, 'P': 92.44271909999159, 'R': 9.303058243773341, 'T': 83.0, 'dp_dh': 4.47213595499958, 'R_2_3': 4.423341737688047, 'R_5_3': 41.1506058178255, 'f_h': 3793.4229534539395, 'f_prime_h': 551.1684680760202, 'h_calc': 13.11748916498117, 'Q_calc': 896.6288156244156}
