N,E,D,T,DBS,UK,Chainage,WL,RL
2652078.78,712888.49,13-11-2024,0.590864583333333,1.2,-42.06,154,7.148,5.948
2652058.68,712885.38,13-11-2024,0.590955555555556,0.81,-41.59,154,7.148,6.338
2652020.45,712882.65,13-11-2024,0.591117592592593,1.17,-41.99,154,7.148,5.978
2651990.87,712879.1,13-11-2024,0.591245833333333,0.64,-41.52,154,7.148,6.508
2651988.2,712878.69,13-11-2024,0.591257638888889,1.23,-42.1,154,7.148,5.918
2651950.63,712873.04,13-11-2024,0.591418981481481,2.09,-42.97,154,7.148,5.058
2651942.54,712871.86,13-11-2024,0.591453819444444,1.17,-42.05,154,7.148,5.978
2651939.84,712871.45,13-11-2024,0.591465046296296,1.61,-42.52,154,7.148,5.538
2651915.61,712867.29,13-11-2024,0.591569328703704,0.8,-41.52,154,7.148,6.348
2651902.3,712864.79,13-11-2024,0.591627199074074,1.95,-42.73,154,7.148,5.198
2651875.64,712859.49,13-11-2024,0.591742592592593,0.4,-41.13,154,7.148,6.748
2651867.53,712858.14,13-11-2024,0.591777777777778,1.29,-42.05,154,7.148,5.858
2651864.81,712857.71,13-11-2024,0.591790740740741,1.38,-42.14,154,7.148,5.768
2651856.67,712856.47,13-11-2024,0.591823842592593,0.98,-41.72,154,7.148,6.168
2651840.52,712853.99,13-11-2024,0.591893287037037,17.83,-58.55,154,7.148,-10.682
2651837.82,712853.58,13-11-2024,0.591906018518519,17.73,-58.47,154,7.148,-10.582
2651835.1,712853.19,13-11-2024,0.591916203703704,17.63,-58.36,154,7.148,-10.482
2651832.41,712852.78,13-11-2024,0.591927893518518,17.57,-58.34,154,7.148,-10.422
2651829.72,712852.39,13-11-2024,0.591939583333333,17.55,-58.29,154,7.148,-10.402
2651827.02,712851.98,13-11-2024,0.591950925925926,17.43,-58.2,154,7.148,-10.282
2651824.33,712851.61,13-11-2024,0.59196400462963,17.37,-58.11,154,7.148,-10.222
2651821.64,712851.23,13-11-2024,0.591974305555556,17.39,-58.14,154,7.148,-10.242
